sample_id,feature_row_start_0based,word_count,bert_input_token_count,valid_word_time_count,text_sha256_utf8
-wny0OAz3g8$_$5,1168,20,29,16,9c9828dcb91f8e3532d0e3dc66c88e52ac47eec14eefc5ea54e1f0ad0894e7ed
-wny0OAz3g8$_$7,1188,29,33,29,b9a3887ebc4083f41eb989691995164b78d2a3bae076e114d6bab627886ff913
-wny0OAz3g8$_$9,1217,20,24,20,a084cdf552bb692d0b81cec2a9a8934d59e731294245b9ca6945b2057d85ad66
-571d8cVauQ$_$0,1237,12,18,12,3cc4662c85af842f5e682e4ef26cf9eb3bebd97881a87999db6c236539a3d598
-571d8cVauQ$_$5,1249,43,54,42,750ec610bc9cc014a16efdc1e076aa87e28e6eec9fa8ef31a42f0e43fc8a6847
-I_e4mIh0yE$_$1,1292,18,23,17,d23b34daf050ce5e431d5074a5f31feb5e6d12db47361c02652779d42f437013
-I_e4mIh0yE$_$3,1310,22,32,9,02d03bfe301b4e2341b12749ee8d9b03af22d4bb0b7cf06af7180495238a2005
-UacrmKiTn4$_$10,1332,18,24,18,e98b82a28182435ec3271a7d4f2d1732c3f387153858f3d3fb72566293411a96
-UacrmKiTn4$_$4,1350,14,17,14,32cee8f979caa3ad38c4e527ae93bb899043bcc4e353f76f7d7a2588ba9a25fb
-hnBHBN8p5A$_$7,1364,13,19,0,96598849754d0594dd898377ebd1f8ce193af1491d5f002050f6dea780c7ca2f
-hnBHBN8p5A$_$6,1377,13,16,0,efd53156234a6fe19e1d8ddffac7dc78c44efc68a0a2f293dc30821bfdd094b8
-qDkUB0GgYY$_$6,1390,16,20,16,876a79155132e90b3394e7cb3977b04230ce528b35b0e739502dc5c27169e7e0
-uywlfIYOS8$_$4,1406,18,24,5,d737909b534cfe89b07541f89d3ecb1b7e97f805ba1dfc1962ea3c475b97a063
-6rXp3zJ3kc$_$8,1424,34,40,30,d8191a0e9bf808171a0610c82825567e304d6950a9b1ee4e9c3f57fdd67c5add
-9y-fZ3swSY$_$0,1458,22,30,17,d81896a67e5f274d2c16dbf281a45824f967fe604ce10737525c3ccae7723a3e
-9y-fZ3swSY$_$4,1480,9,13,9,90e4f5f3d707d702db91e02acb36aef59bcc5989d01839f4e69891616d660847
-9y-fZ3swSY$_$8,1489,12,16,12,cc4943d1a2d9da1cfa76b529da139ea3ac05a0ff0f9935f381fb9c14c18f72a0
-AUZQgSxyPQ$_$2,1501,41,58,34,53a9c4d7b99b24b4a7472cea8414ccb888be5eabdef6e10c83361628bd8323db
-HeZS2-Prhc$_$2,1542,16,19,13,15effa3af619e2681091bfb260ded02117f167a5c4be5e77fff33a4e08a8caf1
-MeTTeMJBNc$_$0,1558,21,28,20,d45a4c90c53d56e4ab5a94feb0eb2f9ff65b538e0dbae7d2f825e9712e1fbf6c
-MeTTeMJBNc$_$13,1579,14,18,14,c402887ff4c5a0fb3774b386105e85b03916cc55ea3f03e731045058c5eeae26
-MeTTeMJBNc$_$7,1593,31,35,29,92d6e9fd047cc71b66015cff4b3c738c9b0231d578f9f801e309692ff9e76ea9
-RfYyzHpjk4$_$11,1624,17,21,15,a270bb05e4028b233a7b24185137fa42eafda19ff26fba42416ce4c9a43aed2f
-RfYyzHpjk4$_$8,1641,17,23,16,d3555b14bb47b174fbff361f276899a48984d7c17f63c0199df6ce993808d135
-RfYyzHpjk4$_$2,1658,25,31,24,cfcd8b471a2463bbf3a57796635230abb520d2fdf4c7ca9237e6e992af68a2bf
-UUCSKoHeMA$_$0,1683,18,25,18,06066cdd3a69188d9b551d1dd8ab73440d1fb35427cc9d6269c9167249435175
-ri04Z7vwnc$_$0,1701,8,10,0,67e24366653bb748973c629e8917b2d43c1a042a58c1a25055305cf96dd85d91
-ri04Z7vwnc$_$2,1709,16,28,0,485fc16ed107188fbeebd37d539df40b7e66a174cb2f7a52991e1993cc5b9707
-ri04Z7vwnc$_$5,1725,8,13,1,b65c73ef4a0f7b9c2d61b5b240b4e1bf4faabd5bcaf23f266dee97618c4c4cb0
-s9qJ7ATP7w$_$1,1733,11,14,7,8f6128c866cc3d5d668326149631575f43e8832d0037a251401a6c48a46cd6ed
-s9qJ7ATP7w$_$0,1744,24,30,18,826689db331adffd405a7e2ad84f6ca24ec97d2a9c5a0293eedef5941783b672
-s9qJ7ATP7w$_$5,1768,19,22,18,e87c80d3bcdd80b34495c33e4cfdfb0de445d9ef44f28d5be83cda2335803a7d
-s9qJ7ATP7w$_$4,1787,9,12,8,bf8e68db5decfd6cc6a296b6464a35fddb9bd64d99bdfb4fd9d0ec6e71474f9e
-s9qJ7ATP7w$_$7,1796,28,40,28,8455bf2ef7c23cdb49c5994385fcd2669f840a4e4916d7c2b85b19b93780bc1d
-s9qJ7ATP7w$_$6,1824,5,7,5,3ef0a00613818cf80e75e69aa518af01a331f1a71668609e052f9e13ff22e9e7
-s9qJ7ATP7w$_$8,1829,12,19,12,1b4d1af90ee59ff7239ce2e1b9dab817057f7d976e56958fd75923318dec442f
-yRb-Jum7EQ$_$1,1841,49,57,0,186478d349023d371d864220c1660ce8d987b36f2972f5cd5d87c4db145a180a
-yRb-Jum7EQ$_$5,1890,25,33,0,b1a7dcd8cb1edbff14e18c0dc9112def22b9df68e883121fbc3fd46aecec92e7
-yRb-Jum7EQ$_$6,1915,19,26,0,690765e3eb74923649edcafbfefc787f38ec6562d44f5bf52af1d246a416b8d2
