id,missing_regions
vid019$_$clip099,"[[""text"", 4, 21], [""audio"", 12, 29], [""vision"", 30, 47]]"
vid020$_$clip100,"[[""text"", 21, 38], [""vision"", 20, 37]]"
vid020$_$clip101,"[[""text"", 14, 31], [""vision"", 21, 38]]"
vid020$_$clip102,"[[""text"", 26, 43], [""audio"", 16, 33], [""vision"", 11, 28]]"
vid020$_$clip103,"[[""text"", 0, 17], [""vision"", 10, 27]]"
vid020$_$clip104,"[[""text"", 6, 23], [""audio"", 19, 36]]"
vid021$_$clip105,"[[""audio"", 24, 41], [""vision"", 23, 40]]"
vid021$_$clip106,"[[""text"", 19, 36], [""audio"", 15, 32], [""vision"", 14, 31]]"
vid021$_$clip107,"[[""audio"", 31, 48], [""vision"", 22, 39]]"
vid021$_$clip108,"[[""audio"", 18, 35]]"
vid021$_$clip109,"[[""text"", 6, 23]]"
vid022$_$clip110,"[[""text"", 0, 17], [""audio"", 8, 25], [""vision"", 3, 20]]"
vid022$_$clip111,"[[""text"", 0, 17], [""audio"", 27, 44]]"
vid022$_$clip112,"[[""text"", 9, 26], [""vision"", 3, 20]]"
vid022$_$clip113,"[[""audio"", 14, 31], [""vision"", 4, 21]]"
vid022$_$clip114,"[[""text"", 15, 32], [""audio"", 16, 33], [""vision"", 31, 48]]"
vid023$_$clip115,"[[""text"", 28, 45], [""audio"", 1, 18], [""vision"", 17, 34]]"
vid023$_$clip116,"[[""text"", 25, 42], [""audio"", 22, 39], [""vision"", 9, 26]]"
vid023$_$clip117,"[[""text"", 29, 46], [""vision"", 17, 34]]"
vid023$_$clip118,"[[""text"", 13, 30], [""audio"", 2, 19]]"
vid023$_$clip119,"[[""audio"", 10, 27], [""vision"", 30, 47]]"
vid024$_$clip120,"[[""audio"", 11, 28]]"
vid024$_$clip121,"[[""audio"", 27, 44], [""vision"", 8, 25]]"
vid024$_$clip122,"[[""text"", 29, 46], [""audio"", 27, 44], [""vision"", 18, 35]]"
vid024$_$clip123,"[[""text"", 25, 42], [""audio"", 12, 29], [""vision"", 19, 36]]"
vid024$_$clip124,"[[""audio"", 3, 20], [""vision"", 27, 44]]"
vid025$_$clip125,"[[""text"", 18, 35], [""vision"", 30, 47]]"
vid025$_$clip126,"[[""text"", 5, 22], [""audio"", 21, 38], [""vision"", 24, 41]]"
vid025$_$clip127,"[[""text"", 31, 48], [""audio"", 30, 47], [""vision"", 8, 25]]"
