sample_id,whisper_word_position,token_piece_position,whisper_token,start_time_wav_s,end_time_wav_s,start_time_source_s,end_time_source_s,duration_s,probability,automatic_flags
-3g5yACwYnA$_$13,18,1,the,4.46,4.56,4.46,4.56,0.09999999999999964,0.996638298034668,
-3g5yACwYnA$_$13,19,1,table,4.56,4.82,4.56,4.82,0.2600000000000007,0.99788898229599,
-3g5yACwYnA$_$3,1,1,We're,0.0,1.06,0.0,1.06,1.06,0.7139979004859924,
-3g5yACwYnA$_$3,2,1,a,1.06,1.32,1.06,1.32,0.26,0.9906180500984192,
-3g5yACwYnA$_$3,3,1,huge,1.32,1.7,1.32,1.7,0.3799999999999999,0.9983129501342773,
-3g5yACwYnA$_$3,4,1,user,1.7,2.84,1.7,2.84,1.14,0.9808989763259888,
-3g5yACwYnA$_$3,5,1,of,2.84,3.04,2.84,3.04,0.20000000000000018,0.9947952628135681,
-3g5yACwYnA$_$3,6,1,adhesives,3.04,3.54,3.04,3.54,0.5,0.8776948054631551,
-3g5yACwYnA$_$3,7,1,for,3.54,4.38,3.54,4.38,0.8399999999999999,0.9803305268287659,
-3g5yACwYnA$_$3,8,1,our,4.38,4.64,4.38,4.64,0.2599999999999998,0.9925064444541931,
-3g5yACwYnA$_$3,9,1,operation,4.64,5.16,4.64,5.16,0.5200000000000005,0.9917328357696533,
-3g5yACwYnA$_$3,10,1,called,5.16,5.8,5.16,5.8,0.6399999999999997,0.8860669732093811,
-3g5yACwYnA$_$3,11,1,flocking,5.8,6.12,5.8,6.12,0.3200000000000003,0.9220274686813354,
-3g5yACwYnA$_$3,12,1,and,6.76,6.76,6.76,6.76,0.0,0.9867089986801147,nonpositive_duration
-3g5yACwYnA$_$3,13,1,we,6.76,7.12,6.76,7.12,0.3600000000000003,0.9961199760437012,
-3g5yACwYnA$_$3,14,1,don't,7.12,7.22,7.12,7.22,0.09999999999999964,0.9982568323612213,
-3g5yACwYnA$_$3,15,1,have,7.22,7.36,7.22,7.36,0.14000000000000057,0.9978431463241577,
-3g5yACwYnA$_$3,16,1,the,7.36,7.48,7.36,7.48,0.1200000000000001,0.9909272193908691,
-3g5yACwYnA$_$3,17,1,technical,7.48,7.86,7.48,7.86,0.3799999999999999,0.9918262958526611,
-3g5yACwYnA$_$3,18,1,insight,7.86,8.58,7.86,8.58,0.7199999999999998,0.8575566411018372,
-3g5yACwYnA$_$3,19,1,in,8.58,8.76,8.58,8.76,0.17999999999999972,0.2818634510040283,
-3g5yACwYnA$_$3,20,1,for,8.76,8.92,8.76,8.92,0.16000000000000014,0.45166924595832825,
-3g5yACwYnA$_$3,21,1,compounding,8.92,9.92,8.92,9.92,1.0,0.9790051281452179,
-3g5yACwYnA$_$3,22,1,or,9.92,10.26,9.92,10.26,0.33999999999999986,0.7336360216140747,
-3g5yACwYnA$_$3,23,1,the,10.26,10.4,10.26,10.4,0.14000000000000057,0.9854888319969177,
-3g5yACwYnA$_$3,24,1,technical,10.4,10.76,10.4,10.76,0.35999999999999943,0.994305431842804,
-3g5yACwYnA$_$3,25,1,expertise,10.76,11.08,10.76,11.08,0.3200000000000003,0.9915185570716858,
-3g5yACwYnA$_$3,26,1,to,11.08,11.4,11.08,11.4,0.3200000000000003,0.9790787696838379,
-3g5yACwYnA$_$3,27,1,do,11.4,11.52,11.4,11.52,0.11999999999999922,0.992275059223175,
-3g5yACwYnA$_$3,28,1,these,11.52,11.72,11.52,11.72,0.20000000000000107,0.9908506274223328,
-3g5yACwYnA$_$3,29,1,types,11.72,11.9,11.72,11.9,0.17999999999999972,0.9458610415458679,
-3g5yACwYnA$_$3,30,1,of,11.9,12.06,11.9,12.06,0.16000000000000014,0.9977680444717407,
-3g5yACwYnA$_$3,31,1,things,12.06,12.36,12.06,12.36,0.29999999999999893,0.9963802695274353,
-3g5yACwYnA$_$3,32,1,So,12.36,13.12,12.36,13.12,0.7599999999999998,0.33693787455558777,
-3g5yACwYnA$_$3,33,1,key,13.62,14.0,13.62,14.0,0.3800000000000008,0.4070114493370056,
-3g5yACwYnA$_$3,34,1,brings,14.0,14.22,14.0,14.22,0.22000000000000064,0.5320762395858765,
-3g5yACwYnA$_$2,1,1,key,1.6599999999999984,2.459999999999999,1.6599999999999984,2.459999999999999,0.8000000000000007,0.19106550514698029,
-3g5yACwYnA$_$2,2,1,polymer,2.459999999999999,3.26,2.459999999999999,3.26,0.8000000000000007,0.18809305131435394,
-3g5yACwYnA$_$2,3,1,brings,3.26,3.54,3.26,3.54,0.28000000000000025,0.7154129147529602,
-3g5yACwYnA$_$2,4,1,a,3.54,3.72,3.54,3.72,0.18000000000000016,0.8945802450180054,
-3g5yACwYnA$_$2,5,1,technical,3.72,4.02,3.72,4.02,0.2999999999999994,0.9869495034217834,
-3g5yACwYnA$_$2,6,1,aspect,4.02,4.58,4.02,4.58,0.5600000000000005,0.9829707145690918,
-3g5yACwYnA$_$2,7,1,to,4.58,4.98,4.58,4.98,0.40000000000000036,0.9833980798721313,
-3g5yACwYnA$_$2,8,1,our,4.98,5.92,4.98,5.92,0.9399999999999995,0.9824422597885132,
-3g5yACwYnA$_$2,9,1,operation,5.92,6.34,5.92,6.34,0.41999999999999993,0.9551601409912109,
-3g5yACwYnA$_$2,10,1,that,6.34,6.62,6.34,6.62,0.28000000000000025,0.9570742249488831,
-3g5yACwYnA$_$2,11,1,we,6.62,6.78,6.62,6.78,0.16000000000000014,0.9982439279556274,
-3g5yACwYnA$_$2,12,1,don't,6.78,6.98,6.78,6.98,0.20000000000000018,0.9798181056976318,
-3g5yACwYnA$_$2,13,1,have,6.98,7.18,6.98,7.18,0.1999999999999993,0.9918209314346313,
-3g5yACwYnA$_$2,14,1,internally,7.18,7.64,7.18,7.64,0.45999999999999996,0.9899916648864746,
-3g5yACwYnA$_$9,1,1,Like,0.0,0.08,0.0,0.08,0.08,0.17190369963645935,
-3g5yACwYnA$_$9,2,1,we,0.58,0.92,0.58,0.92,0.3400000000000001,0.992073655128479,
-3g5yACwYnA$_$9,3,1,have,0.92,1.06,0.92,1.06,0.14,0.9968152642250061,
-3g5yACwYnA$_$9,4,1,many,1.06,1.32,1.06,1.32,0.26,0.9846484661102295,
-3g5yACwYnA$_$9,5,1,new,1.32,1.84,1.32,1.84,0.52,0.9687299132347107,
-3g5yACwYnA$_$9,6,1,opportunities,1.84,2.3,1.84,2.3,0.45999999999999974,0.9929100871086121,
-3g5yACwYnA$_$9,7,1,through,2.3,2.76,2.3,2.76,0.45999999999999996,0.9045207500457764,
-3g5yACwYnA$_$9,8,1,the,2.76,3.46,2.76,3.46,0.7000000000000002,0.9763025045394897,
-3g5yACwYnA$_$9,9,1,way,3.46,3.6,3.46,3.6,0.14000000000000012,0.9750462770462036,
-3g5yACwYnA$_$9,10,1,things,3.6,3.84,3.6,3.84,0.23999999999999977,0.9923880100250244,
-3g5yACwYnA$_$9,11,1,have,3.84,4.0,3.84,4.0,0.16000000000000014,0.9900826811790466,
-3g5yACwYnA$_$9,12,1,changed,4.0,4.2,4.0,4.2,0.20000000000000018,0.9919368028640747,
-3g5yACwYnA$_$9,13,1,through,4.2,4.42,4.2,4.42,0.21999999999999975,0.6275418400764465,
-3g5yACwYnA$_$9,14,1,the,4.42,4.56,4.42,4.56,0.13999999999999968,0.9966932535171509,
-3g5yACwYnA$_$9,15,1,years,4.56,4.84,4.56,4.84,0.28000000000000025,0.9946276545524597,
-3g5yACwYnA$_$9,16,1,looking,5.58,5.8,5.58,5.8,0.21999999999999975,0.9197472333908081,
-3g5yACwYnA$_$9,17,1,for,5.8,6.02,5.8,6.02,0.21999999999999975,0.994914174079895,
-3g5yACwYnA$_$9,18,1,new,6.02,6.18,6.02,6.18,0.16000000000000014,0.9886981248855591,
-3g5yACwYnA$_$9,19,1,niche,6.18,6.46,6.18,6.46,0.28000000000000025,0.9864843487739563,
-3g5yACwYnA$_$9,20,1,high,6.74,6.82,6.74,6.82,0.08000000000000007,0.9966727495193481,
-3g5yACwYnA$_$9,21,1,end,6.82,7.0,6.82,7.0,0.17999999999999972,0.9090807139873505,
-3g5yACwYnA$_$9,22,1,value,7.0,7.34,7.0,7.34,0.33999999999999986,0.9069240689277649,
-3g5yACwYnA$_$9,23,1,added,7.34,7.52,7.34,7.52,0.17999999999999972,0.9017904102802277,
-3g5yACwYnA$_$9,24,1,products,7.52,7.98,7.52,7.98,0.46000000000000085,0.996623158454895,
-3nNcZdcdvU$_$5,1,1,Non,0.0,0.8,0.0,0.8,0.8,0.9389265179634094,
-3nNcZdcdvU$_$5,2,1,compliance,0.8,1.32,0.8,1.32,0.52,0.7415957152843475,
-3nNcZdcdvU$_$5,3,1,can,1.32,1.86,1.32,1.86,0.54,0.9964467883110046,
-3nNcZdcdvU$_$5,4,1,result,1.86,2.4,1.86,2.4,0.5399999999999998,0.4182482957839966,
-3nNcZdcdvU$_$5,5,1,in,2.4,2.76,2.4,2.76,0.3599999999999999,0.99603670835495,
-3nNcZdcdvU$_$5,6,1,legal,2.76,3.0,2.76,3.0,0.2400000000000002,0.9920410513877869,
-3nNcZdcdvU$_$5,7,1,liability,3.0,3.58,3.0,3.58,0.5800000000000001,0.998849630355835,
-3nNcZdcdvU$_$5,8,1,to,3.58,4.16,3.58,4.16,0.5800000000000001,0.9965576529502869,
-3nNcZdcdvU$_$5,9,1,you,4.16,4.54,4.16,4.54,0.3799999999999999,0.9971808195114136,
-3nNcZdcdvU$_$5,10,1,and,4.54,5.14,4.54,5.14,0.5999999999999996,0.9168689250946045,
-3nNcZdcdvU$_$5,11,1,to,5.14,5.38,5.14,5.38,0.2400000000000002,0.9649480581283569,
-3nNcZdcdvU$_$5,12,1,the,5.38,5.52,5.38,5.52,0.13999999999999968,0.9926732182502747,
-3nNcZdcdvU$_$5,13,1,school,5.52,5.72,5.52,5.72,0.20000000000000018,0.9646692872047424,
-3nNcZdcdvU$_$5,14,1,district,5.72,6.06,5.72,6.06,0.33999999999999986,0.9975152015686035,
-3nNcZdcdvU$_$5,15,1,in,6.06,6.28,6.06,6.28,0.22000000000000064,0.9882602691650391,
-3nNcZdcdvU$_$5,16,1,which,6.28,6.4,6.28,6.4,0.1200000000000001,0.997564435005188,
-3nNcZdcdvU$_$5,17,1,you,6.4,6.62,6.4,6.62,0.21999999999999975,0.9905856251716614,
-3nNcZdcdvU$_$5,18,1,are,6.62,6.74,6.62,6.74,0.1200000000000001,0.9761975407600403,
-3nNcZdcdvU$_$5,19,1,employed,6.74,7.12,6.74,7.12,0.3799999999999999,0.9946159720420837,
-HwX2H8Z4hY$_$2,1,1,mediocrity,0.0,0.8,0.0,0.8,0.8,0.8431897163391113,
-HwX2H8Z4hY$_$2,2,1,Look,2.28,2.82,2.28,2.82,0.54,0.9563334584236145,
-HwX2H8Z4hY$_$2,3,1,at,2.82,2.92,2.82,2.92,0.10000000000000009,0.9965698719024658,
-HwX2H8Z4hY$_$2,4,1,the,2.92,3.04,2.92,3.04,0.1200000000000001,0.9965872764587402,
-HwX2H8Z4hY$_$2,5,1,record,3.04,3.3,3.04,3.3,0.2599999999999998,0.9943323135375977,
-HwX2H8Z4hY$_$5,1,1,President,0.0,1.16,0.0,1.16,1.16,0.7362056374549866,
-HwX2H8Z4hY$_$5,2,1,Ronald,1.16,1.56,1.16,1.56,0.40000000000000013,0.9956395626068115,
-HwX2H8Z4hY$_$5,3,1,Reagan,1.56,2.0,1.56,2.0,0.43999999999999995,0.9823776483535767,
-HwX2H8Z4hY$_$5,4,1,blamed,2.0,2.44,2.0,2.44,0.43999999999999995,0.9517512321472168,
-HwX2H8Z4hY$_$5,5,1,the,2.44,2.74,2.44,2.74,0.30000000000000027,0.9858522415161133,
-HwX2H8Z4hY$_$5,6,1,professional,2.74,3.34,2.74,3.34,0.5999999999999996,0.9157648086547852,
-HwX2H8Z4hY$_$5,7,1,bureaucracy,3.34,3.92,3.34,3.92,0.5800000000000001,0.9981029033660889,
-HwX2H8Z4hY$_$5,8,1,of,3.92,4.38,3.92,4.38,0.45999999999999996,0.99673992395401,
-HwX2H8Z4hY$_$5,9,1,education,4.38,4.94,4.38,4.94,0.5600000000000005,0.9855257868766785,
-HwX2H8Z4hY$_$6,1,1,And,0.0,0.64,0.0,0.64,0.64,0.5303552746772766,
-HwX2H8Z4hY$_$6,2,1,in,0.64,0.76,0.64,0.76,0.12,0.8369653820991516,
-HwX2H8Z4hY$_$6,3,1,part,0.76,1.12,0.76,1.12,0.3600000000000001,0.9927663803100586,
-HwX2H8Z4hY$_$6,4,1,Al,1.58,1.62,1.58,1.62,0.040000000000000036,0.988366425037384,
-HwX2H8Z4hY$_$6,5,1,Schenker,1.62,2.1,1.62,2.1,0.48,0.9053872028986613,
-HwX2H8Z4hY$_$6,6,1,did,2.1,2.4,2.1,2.4,0.2999999999999998,0.9866939783096313,
-HwX2H8Z4hY$_$6,7,1,too,2.4,2.74,2.4,2.74,0.3400000000000003,0.8183441162109375,
-HwX2H8Z4hY$_$9,1,1,It,0.0,0.62,0.0,0.62,0.62,0.5422265529632568,
-HwX2H8Z4hY$_$9,2,1,is,0.62,0.74,0.62,0.74,0.12,0.98908931016922,
-HwX2H8Z4hY$_$9,3,1,a,0.74,0.88,0.74,0.88,0.14,0.8854701519012451,
-HwX2H8Z4hY$_$9,4,1,word,0.88,1.14,0.88,1.14,0.2599999999999999,0.9882196187973022,
-HwX2H8Z4hY$_$9,5,1,with,1.14,1.38,1.14,1.38,0.24,0.8396892547607422,
-HwX2H8Z4hY$_$9,6,1,which,1.38,1.58,1.38,1.58,0.20000000000000018,0.9678369760513306,
-HwX2H8Z4hY$_$9,7,1,the,1.58,1.76,1.58,1.76,0.17999999999999994,0.9844915270805359,
-HwX2H8Z4hY$_$9,8,1,administrator,1.76,2.3,1.76,2.3,0.5399999999999998,0.9731279611587524,
-HwX2H8Z4hY$_$9,9,1,uses,2.3,2.78,2.3,2.78,0.48,0.6432522535324097,
-HwX2H8Z4hY$_$9,10,1,when,2.78,4.42,2.78,4.42,1.6400000000000001,0.5357121229171753,very_long_duration_review
-HwX2H8Z4hY$_$9,11,1,he,4.42,4.54,4.42,4.54,0.1200000000000001,0.9848886728286743,
-HwX2H8Z4hY$_$9,12,1,turns,4.54,4.72,4.54,4.72,0.17999999999999972,0.9723146557807922,
-HwX2H8Z4hY$_$9,13,1,around,4.72,5.06,4.72,5.06,0.33999999999999986,0.9288570880889893,
-HwX2H8Z4hY$_$9,14,1,anything,5.06,5.38,5.06,5.38,0.3200000000000003,0.7024426460266113,
-HwX2H8Z4hY$_$9,15,1,which,5.38,5.6,5.38,5.6,0.21999999999999975,0.7253822088241577,
-HwX2H8Z4hY$_$9,16,1,he,5.6,5.76,5.6,5.76,0.16000000000000014,0.9816341996192932,
-HwX2H8Z4hY$_$9,17,1,doesn't,5.76,6.02,5.76,6.02,0.2599999999999998,0.9932103455066681,
-HwX2H8Z4hY$_$9,18,1,like,6.02,6.18,6.02,6.18,0.16000000000000014,0.9942666888237,
-HwX2H8Z4hY$_$9,19,1,the,6.18,6.38,6.18,6.38,0.20000000000000018,0.5216295719146729,
-HwX2H8Z4hY$_$9,20,1,teacher,6.38,6.7,6.38,6.7,0.3200000000000003,0.8433690071105957,
-HwX2H8Z4hY$_$9,21,1,is,6.7,6.88,6.7,6.88,0.17999999999999972,0.7576192617416382,
-HwX2H8Z4hY$_$9,22,1,doing,6.88,7.06,6.88,7.06,0.17999999999999972,0.9334284663200378,
-HwX2H8Z4hY$_$9,23,1,he,7.06,7.22,7.06,7.22,0.16000000000000014,0.5528401732444763,
-HwX2H8Z4hY$_$9,24,1,says,7.22,7.38,7.22,7.38,0.16000000000000014,0.9687085151672363,
-HwX2H8Z4hY$_$9,25,1,you,7.38,7.6,7.38,7.6,0.21999999999999975,0.864395022392273,
-NFrJFQijFE$_$2,1,1,Hock's,3.4600000000000004,3.98,3.4600000000000004,3.98,0.5199999999999996,0.4818702091773351,
-NFrJFQijFE$_$2,2,1,sense,3.98,4.24,3.98,4.24,0.26000000000000023,0.998770534992218,
-NFrJFQijFE$_$2,3,1,of,4.24,4.44,4.24,4.44,0.20000000000000018,0.9976182579994202,
-NFrJFQijFE$_$2,4,1,hearing,4.44,4.7,4.44,4.7,0.2599999999999998,0.9964467883110046,
-NFrJFQijFE$_$2,5,1,is,4.7,4.98,4.7,4.98,0.28000000000000025,0.9951258301734924,
-NFrJFQijFE$_$2,6,1,excellent,4.98,5.5,4.98,5.5,0.5199999999999996,0.9925708174705505,
-NFrJFQijFE$_$2,7,1,and,5.74,6.16,5.74,6.16,0.41999999999999993,0.9683138132095337,
-NFrJFQijFE$_$2,8,1,their,6.16,6.28,6.16,6.28,0.1200000000000001,0.9138640761375427,
-NFrJFQijFE$_$2,9,1,eyes,6.28,6.52,6.28,6.52,0.23999999999999932,0.9809499382972717,
-NFrJFQijFE$_$2,10,1,are,6.52,6.66,6.52,6.66,0.14000000000000057,0.5234082937240601,
-THoVjtIkeU$_$12,1,1,Whatever,1.1999999999999986,1.76,1.1999999999999986,1.76,0.5600000000000014,0.4600188732147217,
-THoVjtIkeU$_$12,2,1,we,1.76,2.08,1.76,2.08,0.32000000000000006,0.997599184513092,
-THoVjtIkeU$_$12,3,1,turn,2.08,2.28,2.08,2.28,0.19999999999999973,0.9957243204116821,
-THoVjtIkeU$_$12,4,1,our,2.28,2.44,2.28,2.44,0.16000000000000014,0.9920503497123718,
-THoVjtIkeU$_$12,5,1,attention,2.44,2.7,2.44,2.7,0.26000000000000023,0.9995285272598267,
-THoVjtIkeU$_$12,6,1,to,2.7,3.1,2.7,3.1,0.3999999999999999,0.997674286365509,
-THoVjtIkeU$_$12,7,1,is,3.1,3.3,3.1,3.3,0.19999999999999973,0.9368126392364502,
-THoVjtIkeU$_$12,8,1,what,3.3,3.46,3.3,3.46,0.16000000000000014,0.9988125562667847,
-THoVjtIkeU$_$12,9,1,grows,3.46,3.74,3.46,3.74,0.28000000000000025,0.9951431751251221,
-THoVjtIkeU$_$12,10,1,And,4.44,4.44,4.44,4.44,0.0,0.7815946340560913,nonpositive_duration
-THoVjtIkeU$_$12,11,1,so,4.44,4.66,4.44,4.66,0.21999999999999975,0.9843706488609314,
-THoVjtIkeU$_$12,12,1,if,4.66,4.8,4.66,4.8,0.13999999999999968,0.7704002857208252,
-THoVjtIkeU$_$12,13,1,we,4.8,5.0,4.8,5.0,0.20000000000000018,0.9985190033912659,
-THoVjtIkeU$_$12,14,1,believe,5.0,5.4,5.0,5.4,0.40000000000000036,0.997808039188385,
-THoVjtIkeU$_$12,15,1,that,5.4,5.76,5.4,5.76,0.35999999999999943,0.9830090403556824,
-THoVjtIkeU$_$12,16,1,anything,5.76,5.98,5.76,5.98,0.22000000000000064,0.9979875087738037,
-THoVjtIkeU$_$12,17,1,is,5.98,6.24,5.98,6.24,0.2599999999999998,0.9952581524848938,
-THoVjtIkeU$_$12,18,1,possible,6.24,6.64,6.24,6.64,0.39999999999999947,0.9995778203010559,
-THoVjtIkeU$_$12,19,1,if,6.8,6.84,6.8,6.84,0.040000000000000036,0.9807939529418945,
-THoVjtIkeU$_$12,20,1,we,6.84,7.14,6.84,7.14,0.2999999999999998,0.997753918170929,
-THoVjtIkeU$_$12,21,1,believe,7.14,7.94,7.14,7.94,0.8000000000000007,0.99817955493927,
-THoVjtIkeU$_$12,22,1,that,7.94,8.84,7.94,8.84,0.8999999999999995,0.9916817545890808,
-THoVjtIkeU$_$12,23,1,social,8.84,9.64,8.84,9.64,0.8000000000000007,0.984855592250824,
-THoVjtIkeU$_$12,24,1,justice,9.64,10.04,9.64,10.04,0.3999999999999986,0.9980745315551758,
-THoVjtIkeU$_$12,25,1,can,10.04,10.32,10.04,10.32,0.28000000000000114,0.9981648325920105,
-THoVjtIkeU$_$12,26,1,be,10.32,10.5,10.32,10.5,0.17999999999999972,0.9995492100715637,
-THoVjtIkeU$_$12,27,1,achieved,10.5,10.82,10.5,10.82,0.3200000000000003,0.9983242154121399,
-THoVjtIkeU$_$12,28,1,and,10.96,11.06,10.96,11.06,0.09999999999999964,0.9721631407737732,
-THoVjtIkeU$_$12,29,1,if,11.06,11.16,11.06,11.16,0.09999999999999964,0.9945598244667053,
-THoVjtIkeU$_$12,30,1,we,11.16,11.3,11.16,11.3,0.14000000000000057,0.9971390962600708,
-THoVjtIkeU$_$12,31,1,believe,11.3,11.72,11.3,11.72,0.41999999999999993,0.99826979637146,
-THoVjtIkeU$_$12,32,1,in,11.72,12.02,11.72,12.02,0.29999999999999893,0.9982149600982666,
-THoVjtIkeU$_$12,33,1,youth,12.02,12.38,12.02,12.38,0.3600000000000012,0.9920851588249207,
-THoVjtIkeU$_$12,34,1,they,12.9,13.2,12.9,13.2,0.29999999999999893,0.9930824041366577,
-THoVjtIkeU$_$12,35,1,will,13.2,13.32,13.2,13.32,0.120000000000001,0.9848949313163757,
-THoVjtIkeU$_$12,36,1,believe,13.32,13.52,13.32,13.52,0.1999999999999993,0.9967899918556213,
-THoVjtIkeU$_$12,37,1,in,13.52,13.68,13.52,13.68,0.16000000000000014,0.9942227005958557,
-THoVjtIkeU$_$12,38,1,themselves,13.68,13.96,13.68,13.96,0.28000000000000114,0.9989493489265442,
-THoVjtIkeU$_$2,1,1,I,0.0,0.1,0.0,0.1,0.1,0.8890025019645691,
-THoVjtIkeU$_$2,2,1,think,0.1,0.4,0.1,0.4,0.30000000000000004,0.9992702603340149,
-THoVjtIkeU$_$2,3,1,social,0.4,1.36,0.4,1.36,0.9600000000000001,0.9299202561378479,
-THoVjtIkeU$_$2,4,1,justice,1.36,1.66,1.36,1.66,0.2999999999999998,0.9976098537445068,
-THoVjtIkeU$_$2,5,1,is,1.66,1.92,1.66,1.92,0.26,0.9986479878425598,
-THoVjtIkeU$_$2,6,1,extremely,1.92,2.24,1.92,2.24,0.3200000000000003,0.9966673254966736,
-THoVjtIkeU$_$2,7,1,important,2.24,2.7,2.24,2.7,0.45999999999999996,0.9991833567619324,
-THoVjtIkeU$_$2,8,1,for,2.7,2.98,2.7,2.98,0.2799999999999998,0.9957025647163391,
-THoVjtIkeU$_$2,9,1,young,2.98,3.2,2.98,3.2,0.2200000000000002,0.9962693452835083,
-THoVjtIkeU$_$2,10,1,people,3.2,3.58,3.2,3.58,0.3799999999999999,0.9995260238647461,
-THoVjtIkeU$_$6,1,1,I,0.0,0.64,0.0,0.64,0.64,0.07390747219324112,
-THoVjtIkeU$_$6,2,1,think,0.64,1.08,0.64,1.08,0.44000000000000006,0.9425793290138245,
-THoVjtIkeU$_$6,3,1,that,1.08,1.36,1.08,1.36,0.28,0.9250146150588989,
-THoVjtIkeU$_$6,4,1,listening,1.36,1.76,1.36,1.76,0.3999999999999999,0.9844638705253601,
-THoVjtIkeU$_$6,5,1,to,1.76,2.02,1.76,2.02,0.26,0.9983518123626709,
-THoVjtIkeU$_$6,6,1,young,2.02,2.18,2.02,2.18,0.16000000000000014,0.9952337145805359,
-THoVjtIkeU$_$6,7,1,people,2.18,2.56,2.18,2.56,0.3799999999999999,0.9989117383956909,
-THoVjtIkeU$_$6,8,1,taking,2.66,2.88,2.66,2.88,0.21999999999999975,0.9709244966506958,
-THoVjtIkeU$_$6,9,1,in,2.88,3.16,2.88,3.16,0.28000000000000025,0.9904032945632935,
-THoVjtIkeU$_$6,10,1,what,3.16,3.34,3.16,3.34,0.17999999999999972,0.996651828289032,
-THoVjtIkeU$_$6,11,1,they,3.34,3.52,3.34,3.52,0.18000000000000016,0.9964886903762817,
-THoVjtIkeU$_$6,12,1,have,3.52,3.72,3.52,3.72,0.20000000000000018,0.9956757426261902,
-THoVjtIkeU$_$6,13,1,to,3.72,3.88,3.72,3.88,0.1599999999999997,0.9987565279006958,
-THoVjtIkeU$_$6,14,1,say,3.88,4.12,3.88,4.12,0.2400000000000002,0.9985881447792053,
-THoVjtIkeU$_$6,15,1,because,4.34,4.44,4.34,4.44,0.10000000000000053,0.9707433581352234,
-THoVjtIkeU$_$6,16,1,what,4.44,4.96,4.44,4.96,0.5199999999999996,0.9742233753204346,
-THoVjtIkeU$_$6,17,1,we've,4.96,5.24,4.96,5.24,0.28000000000000025,0.9599142968654633,
-THoVjtIkeU$_$6,18,1,seen,5.24,5.4,5.24,5.4,0.16000000000000014,0.9928939938545227,
-THoVjtIkeU$_$6,19,1,all,5.4,5.68,5.4,5.68,0.27999999999999936,0.983004093170166,
-THoVjtIkeU$_$6,20,1,around,5.68,5.9,5.68,5.9,0.22000000000000064,0.9956591129302979,
-THoVjtIkeU$_$6,21,1,the,5.9,6.04,5.9,6.04,0.13999999999999968,0.9982681274414062,
-THoVjtIkeU$_$6,22,1,world,6.04,6.28,6.04,6.28,0.2400000000000002,0.998213529586792,
-THoVjtIkeU$_$6,23,1,is,6.28,6.56,6.28,6.56,0.27999999999999936,0.7242376208305359,
-THoVjtIkeU$_$6,24,1,the,6.56,6.7,6.56,6.7,0.14000000000000057,0.9966561794281006,
-THoVjtIkeU$_$6,25,1,power,6.7,6.96,6.7,6.96,0.2599999999999998,0.9981138706207275,
-THoVjtIkeU$_$6,26,1,of,6.96,7.24,6.96,7.24,0.28000000000000025,0.9985248446464539,
-THoVjtIkeU$_$6,27,1,youth,7.24,7.44,7.24,7.44,0.20000000000000018,0.993914783000946,
-UuX1xuaiiE$_$1,1,1,And,0.0,0.54,0.0,0.54,0.54,0.2698361575603485,
-UuX1xuaiiE$_$1,2,1,all,0.54,0.78,0.54,0.78,0.24,0.96746426820755,
-UuX1xuaiiE$_$1,3,1,of,0.78,0.92,0.78,0.92,0.14,0.9976683259010315,
-UuX1xuaiiE$_$1,4,1,them,0.92,1.06,0.92,1.06,0.14,0.998687207698822,
-UuX1xuaiiE$_$1,5,1,are,1.06,1.32,1.06,1.32,0.26,0.9938648343086243,
