sample_id,comparison_operation,official_token_index,official_token,whisper_token_index,whisper_token,critical_token_difference,whisper_start_time_wav_s,whisper_end_time_wav_s,whisper_start_time_source_s,whisper_end_time_source_s,whisper_time_automatic_flags,timestamp_comparison_note
-3g5yACwYnA$_$13,match,14,the,18,the,False,4.46,4.56,4.46,4.56,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,15,table,19,table,False,4.56,4.82,4.56,4.82,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,1,We're,1,We're,False,0.0,1.06,0.0,1.06,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,2,a,2,a,False,1.06,1.32,1.06,1.32,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,3,huge,3,huge,False,1.32,1.7,1.32,1.7,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,4,user,4,user,False,1.7,2.84,1.7,2.84,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,5,of,5,of,False,2.84,3.04,2.84,3.04,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,6,adhesives,6,adhesives,False,3.04,3.54,3.04,3.54,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,7,for,7,for,False,3.54,4.38,3.54,4.38,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,8,our,8,our,False,4.38,4.64,4.38,4.64,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,9,operation,9,operation,False,4.64,5.16,4.64,5.16,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,10,called,10,called,False,5.16,5.8,5.16,5.8,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,11,flocking,11,flocking,False,5.8,6.12,5.8,6.12,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,12,and,12,and,False,6.76,6.76,6.76,6.76,nonpositive_duration,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,13,we,13,we,False,6.76,7.12,6.76,7.12,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,14,don't,14,don't,False,7.12,7.22,7.12,7.22,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,15,have,15,have,False,7.22,7.36,7.22,7.36,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,16,the,16,the,False,7.36,7.48,7.36,7.48,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,17,technical,17,technical,False,7.48,7.86,7.48,7.86,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,insertion_whisper,,,18,insight,False,7.86,8.58,7.86,8.58,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,insertion_whisper,,,19,in,False,8.58,8.76,8.58,8.76,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,substitution,18,inside,20,for,False,8.76,8.92,8.76,8.92,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,19,compounding,21,compounding,False,8.92,9.92,8.92,9.92,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,20,or,22,or,False,9.92,10.26,9.92,10.26,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,21,the,23,the,False,10.26,10.4,10.26,10.4,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,22,technical,24,technical,False,10.4,10.76,10.4,10.76,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,23,expertise,25,expertise,False,10.76,11.08,10.76,11.08,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,24,to,26,to,False,11.08,11.4,11.08,11.4,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,25,do,27,do,False,11.4,11.52,11.4,11.52,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,26,these,28,these,False,11.52,11.72,11.52,11.72,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,27,types,29,types,False,11.72,11.9,11.72,11.9,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,28,of,30,of,False,11.9,12.06,11.9,12.06,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,match,29,things,31,things,False,12.06,12.36,12.06,12.36,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,insertion_whisper,,,32,So,False,12.36,13.12,12.36,13.12,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,insertion_whisper,,,33,key,False,13.62,14.0,13.62,14.0,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$3,insertion_whisper,,,34,brings,False,14.0,14.22,14.0,14.22,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,1,Key,1,key,False,1.6599999999999984,2.459999999999999,1.6599999999999984,2.459999999999999,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,2,Polymer,2,polymer,False,2.459999999999999,3.26,2.459999999999999,3.26,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,3,brings,3,brings,False,3.26,3.54,3.26,3.54,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,4,a,4,a,False,3.54,3.72,3.54,3.72,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,5,technical,5,technical,False,3.72,4.02,3.72,4.02,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,6,aspect,6,aspect,False,4.02,4.58,4.02,4.58,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,7,to,7,to,False,4.58,4.98,4.58,4.98,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,8,our,8,our,False,4.98,5.92,4.98,5.92,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,9,operation,9,operation,False,5.92,6.34,5.92,6.34,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,10,that,10,that,False,6.34,6.62,6.34,6.62,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,11,we,11,we,False,6.62,6.78,6.62,6.78,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,12,don't,12,don't,False,6.78,6.98,6.78,6.98,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,13,have,13,have,False,6.98,7.18,6.98,7.18,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$2,match,14,internally,14,internally,False,7.18,7.64,7.18,7.64,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,insertion_whisper,,,1,Like,False,0.0,0.08,0.0,0.08,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,1,We,2,we,False,0.58,0.92,0.58,0.92,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,2,have,3,have,False,0.92,1.06,0.92,1.06,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,3,many,4,many,False,1.06,1.32,1.06,1.32,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,4,new,5,new,False,1.32,1.84,1.32,1.84,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,5,opportunities,6,opportunities,False,1.84,2.3,1.84,2.3,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,6,through,7,through,False,2.3,2.76,2.3,2.76,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,7,the,8,the,False,2.76,3.46,2.76,3.46,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,8,way,9,way,False,3.46,3.6,3.46,3.6,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,9,things,10,things,False,3.6,3.84,3.6,3.84,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,10,have,11,have,False,3.84,4.0,3.84,4.0,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,11,changed,12,changed,False,4.0,4.2,4.0,4.2,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,12,through,13,through,False,4.2,4.42,4.2,4.42,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,13,the,14,the,False,4.42,4.56,4.42,4.56,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,14,years,15,years,False,4.56,4.84,4.56,4.84,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,15,looking,16,looking,False,5.58,5.8,5.58,5.8,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,16,for,17,for,False,5.8,6.02,5.8,6.02,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,17,new,18,new,False,6.02,6.18,6.02,6.18,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,18,niche,19,niche,False,6.18,6.46,6.18,6.46,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,19,high,20,high,False,6.74,6.82,6.74,6.82,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,20,end,21,end,False,6.82,7.0,6.82,7.0,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,21,value,22,value,False,7.0,7.34,7.0,7.34,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,22,added,23,added,False,7.34,7.52,7.34,7.52,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$9,match,23,products,24,products,False,7.52,7.98,7.52,7.98,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,insertion_whisper,,,1,Non,False,0.0,0.8,0.0,0.8,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,substitution,1,Noncompliance,2,compliance,False,0.8,1.32,0.8,1.32,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,2,can,3,can,False,1.32,1.86,1.32,1.86,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,3,result,4,result,False,1.86,2.4,1.86,2.4,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,4,in,5,in,False,2.4,2.76,2.4,2.76,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,5,legal,6,legal,False,2.76,3.0,2.76,3.0,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,6,liability,7,liability,False,3.0,3.58,3.0,3.58,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,7,to,8,to,False,3.58,4.16,3.58,4.16,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,8,you,9,you,False,4.16,4.54,4.16,4.54,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,9,and,10,and,False,4.54,5.14,4.54,5.14,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,10,to,11,to,False,5.14,5.38,5.14,5.38,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,11,the,12,the,False,5.38,5.52,5.38,5.52,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,12,school,13,school,False,5.52,5.72,5.52,5.72,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,13,district,14,district,False,5.72,6.06,5.72,6.06,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,14,in,15,in,False,6.06,6.28,6.06,6.28,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,15,which,16,which,False,6.28,6.4,6.28,6.4,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,16,you,17,you,False,6.4,6.62,6.4,6.62,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,17,are,18,are,False,6.62,6.74,6.62,6.74,,Whisper估计时间；原文词时间待MFA步骤
-3nNcZdcdvU$_$5,match,18,employed,19,employed,False,6.74,7.12,6.74,7.12,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$2,deletion_official,1,President,,,False,,,,,,原文词时间待MFA步骤
-HwX2H8Z4hY$_$2,deletion_official,2,Ronald,,,False,,,,,,原文词时间待MFA步骤
-HwX2H8Z4hY$_$2,substitution,3,Reagan,1,mediocrity,False,0.0,0.8,0.0,0.8,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$2,match,4,Look,2,Look,False,2.28,2.82,2.28,2.82,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$2,match,5,at,3,at,False,2.82,2.92,2.82,2.92,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$2,match,6,the,4,the,False,2.92,3.04,2.92,3.04,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$2,match,7,record,5,record,False,3.04,3.3,3.04,3.3,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,1,President,1,President,False,0.0,1.16,0.0,1.16,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,2,Ronald,2,Ronald,False,1.16,1.56,1.16,1.56,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,3,Reagan,3,Reagan,False,1.56,2.0,1.56,2.0,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,4,blamed,4,blamed,False,2.0,2.44,2.0,2.44,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,5,the,5,the,False,2.44,2.74,2.44,2.74,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,6,professional,6,professional,False,2.74,3.34,2.74,3.34,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,7,bureaucracy,7,bureaucracy,False,3.34,3.92,3.34,3.92,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,8,of,8,of,False,3.92,4.38,3.92,4.38,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$5,match,9,education,9,education,False,4.38,4.94,4.38,4.94,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$6,match,1,And,1,And,False,0.0,0.64,0.0,0.64,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$6,match,2,in,2,in,False,0.64,0.76,0.64,0.76,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$6,match,3,part,3,part,False,0.76,1.12,0.76,1.12,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$6,match,4,Al,4,Al,False,1.58,1.62,1.58,1.62,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$6,substitution,5,Shanker,5,Schenker,False,1.62,2.1,1.62,2.1,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$6,match,6,did,6,did,False,2.1,2.4,2.1,2.4,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$6,match,7,too,7,too,False,2.4,2.74,2.4,2.74,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,1,It,1,It,False,0.0,0.62,0.0,0.62,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,2,is,2,is,False,0.62,0.74,0.62,0.74,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,3,a,3,a,False,0.74,0.88,0.74,0.88,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,4,word,4,word,False,0.88,1.14,0.88,1.14,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,insertion_whisper,,,5,with,False,1.14,1.38,1.14,1.38,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,5,which,6,which,False,1.38,1.58,1.38,1.58,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,6,the,7,the,False,1.58,1.76,1.58,1.76,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,7,administrator,8,administrator,False,1.76,2.3,1.76,2.3,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,8,uses,9,uses,False,2.3,2.78,2.3,2.78,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,9,when,10,when,False,2.78,4.42,2.78,4.42,very_long_duration_review,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,10,he,11,he,False,4.42,4.54,4.42,4.54,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,11,turns,12,turns,False,4.54,4.72,4.54,4.72,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,12,around,13,around,False,4.72,5.06,4.72,5.06,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,13,anything,14,anything,False,5.06,5.38,5.06,5.38,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,14,which,15,which,False,5.38,5.6,5.38,5.6,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,15,he,16,he,False,5.6,5.76,5.6,5.76,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,16,doesn't,17,doesn't,False,5.76,6.02,5.76,6.02,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,17,like,18,like,False,6.02,6.18,6.02,6.18,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,deletion_official,18,that,,,False,,,,,,原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,19,the,19,the,False,6.18,6.38,6.18,6.38,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,20,teacher,20,teacher,False,6.38,6.7,6.38,6.7,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,21,is,21,is,False,6.7,6.88,6.7,6.88,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,match,22,doing,22,doing,False,6.88,7.06,6.88,7.06,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,insertion_whisper,,,23,he,False,7.06,7.22,7.06,7.22,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,insertion_whisper,,,24,says,False,7.22,7.38,7.22,7.38,,Whisper估计时间；原文词时间待MFA步骤
-HwX2H8Z4hY$_$9,insertion_whisper,,,25,you,False,7.38,7.6,7.38,7.6,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,1,Structural,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,2,mounts,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,3,inside,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,4,have,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,5,to,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,6,be,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,7,properly,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,8,stress,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,9,analyzed,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,10,so,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,11,we,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,12,make,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,13,sure,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,14,all,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,15,that,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$1,deletion_official,16,happens,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,deletion_official,1,So,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,deletion_official,2,we,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,deletion_official,3,coordinate,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,deletion_official,4,with,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,deletion_official,5,all,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,deletion_official,6,the,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,deletion_official,7,proper,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,deletion_official,8,technical,,,False,,,,,,原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,9,fields,1,Hock's,False,3.4600000000000004,3.98,3.4600000000000004,3.98,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,10,to,2,sense,False,3.98,4.24,3.98,4.24,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,11,get,3,of,False,4.24,4.44,4.24,4.44,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,12,ready,4,hearing,False,4.44,4.7,4.44,4.7,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,13,for,5,is,False,4.7,4.98,4.7,4.98,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,14,the,6,excellent,False,4.98,5.5,4.98,5.5,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,15,instrument,7,and,False,5.74,6.16,5.74,6.16,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,16,to,8,their,False,6.16,6.28,6.16,6.28,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,17,arrive,9,eyes,False,6.28,6.52,6.28,6.52,,Whisper估计时间；原文词时间待MFA步骤
-NFrJFQijFE$_$2,substitution,18,here,10,are,False,6.52,6.66,6.52,6.66,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,deletion_official,1,What,,,False,,,,,,原文词时间待MFA步骤
-THoVjtIkeU$_$12,substitution,2,ever,1,Whatever,False,1.1999999999999986,1.76,1.1999999999999986,1.76,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,3,we,2,we,False,1.76,2.08,1.76,2.08,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,4,turn,3,turn,False,2.08,2.28,2.08,2.28,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,5,our,4,our,False,2.28,2.44,2.28,2.44,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,6,attention,5,attention,False,2.44,2.7,2.44,2.7,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,7,to,6,to,False,2.7,3.1,2.7,3.1,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,8,is,7,is,False,3.1,3.3,3.1,3.3,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,9,what,8,what,False,3.3,3.46,3.3,3.46,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,10,grows,9,grows,False,3.46,3.74,3.46,3.74,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,11,and,10,And,False,4.44,4.44,4.44,4.44,nonpositive_duration,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,12,so,11,so,False,4.44,4.66,4.44,4.66,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,13,if,12,if,False,4.66,4.8,4.66,4.8,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,14,we,13,we,False,4.8,5.0,4.8,5.0,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,15,believe,14,believe,False,5.0,5.4,5.0,5.4,,Whisper估计时间；原文词时间待MFA步骤
-THoVjtIkeU$_$12,match,16,that,15,that,False,5.4,5.76,5.4,5.76,,Whisper估计时间；原文词时间待MFA步骤
