sample_id,wav_duration_s,wav_sample_count,wav_sha256,audio_start_offset_s,frame_count,feature_dimensions,frame_hop_s,last_frame_center_wav_s,f0_voiced_frame_count,f0_voiced_frame_fraction,nonzero_voicing_probability_frame_count,sample_rms,feature_file,feature_file_sha256,status
-NFrJFQijFE$_$2,6.698,107168,fa24a5368120832c58d45b98c460254ad7f7560467d8a5c93f3d2b193fcb0e7e,0.0,670,74,0.01,6.69,416,0.6208955223880597,670,0.08382519749070781,结果/06_Librosa74/逐样本/-NFrJFQijFE$_$2.npz,6568b21b231a2132df065366ff0839f1807bd5d6dcac54965d3add386aefec1f,passed
-THoVjtIkeU$_$12,14.805,236880,f80f8f21cb0bfbb32b6ea2281a0c1ce0ecc7b4802491197338b336660fa0f027,0.0,1481,74,0.01,14.8,958,0.6468602295746118,1481,0.05470177054395284,结果/06_Librosa74/逐样本/-THoVjtIkeU$_$12.npz,c15d23ece5e0a88b6ef4d003bc664e1c553496ccbb6923be825e8d229dcb6b59,passed
-THoVjtIkeU$_$2,4.23,67680,d23531e26b790a3d88958fd589b56be32f0f72e04e2ba431110d3b647831683a,0.0,423,74,0.01,4.22,300,0.7092198581560284,422,0.05767462995883901,结果/06_Librosa74/逐样本/-THoVjtIkeU$_$2.npz,6823deff15c24b80163e34420c805a84cda0ff596c7de80cc52e22b577d054ac,passed
-THoVjtIkeU$_$6,7.982875,127726,3173573ed9cb73e17e6ec0bda8c20eabc8101b0aa07b02a1904f5d4df95957e9,0.0,799,74,0.01,7.98,584,0.7309136420525657,796,0.0646316956353695,结果/06_Librosa74/逐样本/-THoVjtIkeU$_$6.npz,7a71bfe553bb3be9b3274faefb09e356934dd7fb913db2fd46817bfd42a01690,passed
-UuX1xuaiiE$_$1,10.267,164272,2e567b4f734d4bed4ddbfd9fa79e2901b32c437411ce4579274040baece5d76b,0.0,1027,74,0.01,10.26,649,0.631937682570594,1027,0.0532553419804981,结果/06_Librosa74/逐样本/-UuX1xuaiiE$_$1.npz,da158cebf41f074b57b72cb058c6ed9f818c81c34be66f424c116e6f136d91a8,passed
-UuX1xuaiiE$_$0,3.575875,57214,e89204f913deaf701f90605bfadf37fea2c4c33504500c3c5306f620c5e7fce6,0.0,358,74,0.01,3.5700000000000003,217,0.6061452513966481,358,0.044249441790474416,结果/06_Librosa74/逐样本/-UuX1xuaiiE$_$0.npz,e6781f8313f6eb8f0426c3b5984efba4b11306a8ea6a0397ca395c3b6b94df43,passed
-UuX1xuaiiE$_$3,4.038,64608,e30c5f4541a60031864b5d8379a8de30641ac7ba8d025b6512c727cb3a2a47bb,0.0,404,74,0.01,4.03,298,0.7376237623762376,404,0.05807593019478542,结果/06_Librosa74/逐样本/-UuX1xuaiiE$_$3.npz,c0ed662a7681458e6f9f868811ff222a3062caf7b4da1dab0605c1f916976964,passed
-UuX1xuaiiE$_$6,7.9438125,127101,08b5fa73f5581e4f9a54dfe4945fb42bb085b7ac5cf29df58c848163b5b75145,0.0,795,74,0.01,7.94,727,0.9144654088050315,795,0.04901209313047839,结果/06_Librosa74/逐样本/-UuX1xuaiiE$_$6.npz,2c88345da5d99030e88fc288cac14a7f59325d7e6670d8f365485a417d4b2634,passed
-a55Q6RWvTA$_$3,22.0833125,353333,8b85cd9e18f0656e0e4aefc49f03ff83e12394aef1114ed2ff8feaa0b090be5b,0.0,2209,74,0.01,22.080000000000002,1961,0.8877320054323223,2209,0.08620435840374986,结果/06_Librosa74/逐样本/-a55Q6RWvTA$_$3.npz,d5b3c20d7a12502d7e18933dd0958dd85a661ccef0974c9431733c5df594f8ed,passed
-aNfi7CP8vM$_$7,8.5376875,136603,9008e5f7ec84b6c9a36db45b2bc38679efd7e3ab92ef727614786c43a2177d22,0.0,854,74,0.01,8.53,574,0.6721311475409836,854,0.0348731230054879,结果/06_Librosa74/逐样本/-aNfi7CP8vM$_$7.npz,8c76769a9b482cf2c39215725e31cb7c09e0d6a59bc5a7105552f89964ad32db,passed
-aqamKhZ1Ec$_$0,10.89,174240,1653cb1a5fa3caa9943794a4c34f5db5745ebb298a8cdba83532c648d185ec6a,0.0,1089,74,0.01,10.88,896,0.82277318640955,1089,0.012809729961628775,结果/06_Librosa74/逐样本/-aqamKhZ1Ec$_$0.npz,b970bfffa46e1d065769702d689ef217e56ab373ace1c906e32154e0a2e06102,passed
-dxfTGcXJoc$_$1,16.018125,256290,a65ba36aa2897e1655896ff604e446fd14098c940d640557d9f4135ad32c8462,0.0,1602,74,0.01,16.01,817,0.5099875156054932,1602,0.06702833262146236,结果/06_Librosa74/逐样本/-dxfTGcXJoc$_$1.npz,0e41f7a0446272df3e471522fcb53d4838e0c080416526eb33b3fefaecfe9562,passed
-dxfTGcXJoc$_$0,20.41,326560,fa4d7a9921c36a776c21e36bef3dfbcf93a25982a29a667fe8613726aa9cd41d,0.0,2041,74,0.01,20.400000000000002,970,0.47525722684958355,2034,0.05023304484566884,结果/06_Librosa74/逐样本/-dxfTGcXJoc$_$0.npz,b11c43061e0ce66bad1bcbe0a71a8276f2eb72d88920d8baba7f2a59148a8474,passed
-dxfTGcXJoc$_$2,16.633,266128,e6f9281095e639967f513b0fe4466ca33407638fe20d11cd5c7d2a9473495eaa,0.0,1664,74,0.01,16.63,885,0.5318509615384616,1664,0.07039010271733327,结果/06_Librosa74/逐样本/-dxfTGcXJoc$_$2.npz,e71f3075d8fad98e89dddbfe14eb7c09c0c6aa343d524053a2facf58f3cf1985,passed
-dxfTGcXJoc$_$6,12.628,202048,100774f7587553a4014639a9006f8a31df5262c9b389e0316994b9ea7f5ede8e,0.0,1263,74,0.01,12.620000000000001,573,0.45368171021377673,1263,0.06140093054463617,结果/06_Librosa74/逐样本/-dxfTGcXJoc$_$6.npz,460d45417b78f6102c69215ddbc4f6c5227d63d3195b518c3ae4eb361cece0e2,passed
-egA8-b7-3M$_$26,5.92,94720,f0e8548d55954536889313d95eddab0f0f841b2c6e8cf193fe550798ccaa8254,0.0,592,74,0.01,5.91,443,0.7483108108108109,592,0.031112568608946827,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$26.npz,46bf5b067ba80013cacb9ef97e1f4fa125b58fe8c4cf0e4150ae0225302c82aa,passed
-egA8-b7-3M$_$17,7.095,113520,5806d44ff8ea4dbca87b283607a818339de620f1a18007ad98a9f2a3a871664e,0.0,710,74,0.01,7.09,442,0.6225352112676056,710,0.03135632223167703,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$17.npz,70d34b541b961899d7560ef5c8c16545890fa322a33e1e71874f3424fdb17d50,passed
-egA8-b7-3M$_$18,8.2656875,132251,252a59173d796db14c773892148c4c3a9dafee9cc0bc5f434d61e5a4c4b6ac1c,0.0,827,74,0.01,8.26,626,0.7569528415961306,827,0.03274527982323219,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$18.npz,86a27e7037b612952080f319fdb42fca1e0bb0bc00b0d872f0a04e5ca40e45f6,passed
-egA8-b7-3M$_$16,5.483,87728,adf98468b423ce10eccc9a2d0f526dddcee2bd5c73aa38daed06023356f078ec,0.0,549,74,0.01,5.48,410,0.7468123861566485,549,0.03399185300401774,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$16.npz,00bbd692c645cc09e09e5d092d28c8766b3088e201b298329099e709ada9e76e,passed
-egA8-b7-3M$_$13,4.023875,64382,2f89c4f863a0c9e2b8accb01a17a9dc21c3a00d52d3b62c5adca17b87bf86a83,0.0,403,74,0.01,4.0200000000000005,241,0.598014888337469,403,0.03014275955842023,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$13.npz,0d46b5033574a1cae5e1377bbe82e0cc04352c728f2c869a0ad9c49bf1b6ed40,passed
-egA8-b7-3M$_$1,10.156,162496,009cfba1f35b407ff508de5ab849afbca309ad0a950004fe38b11115964ee29b,0.0,1016,74,0.01,10.15,784,0.7716535433070866,1016,0.0341727487821779,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$1.npz,e06e159506e5ed3e16cc745f297975bd7626ef69badfc01ef763fc79b06b3393,passed
-egA8-b7-3M$_$6,6.183,98928,ee995c68a007c1b45ed6d984cea7d002ad2f137aad90761a70679fcc5605f13b,0.0,619,74,0.01,6.18,451,0.72859450726979,619,0.030734996677313386,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$6.npz,cc8b7f1787d2ddaf84995e325600601859dc71d2c454461517fdb3e87e227f15,passed
-egA8-b7-3M$_$9,4.936,78976,a4d259ef5771f29f25ec85048efdea7c4e0f3432b9a30e88e150573b7b4c012a,0.0,494,74,0.01,4.93,367,0.742914979757085,494,0.03516263718606504,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$9.npz,9ed607a9ac27a7a96c8e8c7003eea8121892fe514557e87416593f497389a1a1,passed
-egA8-b7-3M$_$20,6.4744375,103591,8bcd1b9a30e78c42fc847a24f87e4e45ff614a120e231bf1fbb06e0bc8a9fff5,0.0,648,74,0.01,6.47,443,0.683641975308642,648,0.027638719713908137,结果/06_Librosa74/逐样本/-egA8-b7-3M$_$20.npz,5fe0335facd822578badfe70fa72debd99b1b41c95286c284e13918975cf90f3,passed
-iRBcNs9oI8$_$3,5.538,88608,0e87de9764def5a4b8ce6ab91bc7aab7d5317fa8b90b005c9af29af89f0f96c0,0.0,554,74,0.01,5.53,405,0.7310469314079422,551,0.06906457728695928,结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$3.npz,f1ea17c15bb854ce93228c4650d374f5d0803172c4cea779fc54479bcedf9e63,passed
-iRBcNs9oI8$_$7,4.00575,64092,c04ca466f32ebb093a87247290fc5874d5c826b345362125c9427ad3dd8ca282,0.0,401,74,0.01,4.0,325,0.8104738154613467,401,0.0739273733376549,结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$7.npz,1ad1a61135ab6c783e0078441967cfaa81f008f4a65ebbb6a6af4ecb9a2a9b7f,passed
-iRBcNs9oI8$_$6,2.8204375,45127,54c9879874fa8fe072f2f0540c986646a912b1b4072dc4eec693fb226c498a81,0.0,283,74,0.01,2.82,233,0.823321554770318,283,0.06886079535877017,结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$6.npz,1f070e0c2c5c77d3e0b578056f0e307a3ab76981dfbc6d2805885d010fa2aa65,passed
-iRBcNs9oI8$_$9,3.374,53984,a3c9cc78d25811313001d222baed35f27e8397c99ea864a0162a0e2e86f86936,0.0,338,74,0.01,3.37,146,0.4319526627218935,338,0.11938867668747899,结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$9.npz,ceb3711760f2ae1fc8fb729b93e46de9d5358af5620f3d844b0902c0235f373a,passed
-iRBcNs9oI8$_$8,8.026,128416,764393f39a955eb8af20198192a41605bf566b0d5ed1853019ad0261abef4b93,0.0,803,74,0.01,8.02,459,0.5716064757160647,803,0.07370280328045174,结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$8.npz,3bbf800e8963f1fd550c23926455a07f6ab860dc05438e6b3a331be8391d30df,passed
-lzEya4AM_4$_$5,7.5696875,121115,8ca981817ebaf638ea89b82d148575efc18e1fa617da5326fb7b0b536dece9c5,0.0,757,74,0.01,7.5600000000000005,512,0.6763540290620872,757,0.04978458356801141,结果/06_Librosa74/逐样本/-lzEya4AM_4$_$5.npz,e43b348604d715602ec15d82208120d39f1bf1e78292ebbd00aa460dca242f80,passed
-lzEya4AM_4$_$6,14.740375,235846,c94355db803e2b0db47d311b41f86598b1064543a4fda9a78463e8794a766058,0.0,1475,74,0.01,14.74,897,0.6081355932203389,1474,0.04313158277427387,结果/06_Librosa74/逐样本/-lzEya4AM_4$_$6.npz,3a8bb52e33369bd5a6c643b0ab571eb9a25d74abdcde5dd47757e90b1bf5a93f,passed
-mJ2ud6oKI8$_$1,6.054,96864,1f8b38b95511f84a7770416186c955f99fa26ad2b182050ef0c17578fd087343,0.0,606,74,0.01,6.05,0,0.0,0,0.0,结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$1.npz,c888cbb85bad30cde27b8273d54a25d907ea8aae8e27862cee0f0db0895cbc59,passed
-mJ2ud6oKI8$_$2,5.7016875,91227,6b9e62244b6573ac1f3fca3909582b2ab997b3fe09479bc03001f06b05855fce,0.0,571,74,0.01,5.7,0,0.0,0,0.0,结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$2.npz,0338562c7dd3c3e0a82fcbca4bf66ed995ea3fc084d05faa93139ea3d291fa2c,passed
-mJ2ud6oKI8$_$6,2.228125,35650,f75f302b5918446527f909dbd7386fd8348bf945d26a88df84f7c884cec82de2,0.0,223,74,0.01,2.22,179,0.8026905829596412,223,0.05763658620504359,结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$6.npz,fe3963438b2a59231dcf5fef71c9dd27d2b93a82aa1234805b397f696a3e3ba0,passed
-mJ2ud6oKI8$_$9,6.90875,110540,560105e1d05f3b3362ee5dd6017775a713296436b80858d0a7f67cf071b92ea7,0.0,691,74,0.01,6.9,523,0.7568740955137482,691,0.04851648257218674,结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$9.npz,324bc7764c6253cd1ba1d857928e425d1219e4f7d6eda7daf41b27a353235b7e,passed
-mJ2ud6oKI8$_$8,4.171375,66742,6fc367ff29c1d4a8e32e66c5da3e4194521880310158e6c44a3a527f4befbc43,0.0,418,74,0.01,4.17,335,0.8014354066985646,418,0.05846315849590454,结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$8.npz,5001dd2e64a30e2ba28dacc8d33e3ffe880a24ebf015fbe69af732a37b759367,passed
-mqbVkbCndg$_$0,6.385,102160,0c1c6ba301382581d1b6f1329269f897f85e4c1ad64ce2ad37b90050b8379001,0.0,639,74,0.01,6.38,494,0.7730829420970265,639,0.14693711834470885,结果/06_Librosa74/逐样本/-mqbVkbCndg$_$0.npz,78158ea012705206c0f907edb2ed5260e697cf567523aab657450cdeb1092d71,passed
-t217m2on-s$_$2,5.63,90080,0580d0bb64d20725fbdb8aff86b8b34f9ed0aa0fb1ddc99710f23d9b2e095a3e,0.0,563,74,0.01,5.62,399,0.7087033747779752,563,0.03903353483842109,结果/06_Librosa74/逐样本/-t217m2on-s$_$2.npz,0a84b443513fd218a2b0a86553db54bdeba1fd10d7c89ec719447b303abec407,passed
-t217m2on-s$_$7,17.026,272416,57ae9f8bcf206cbbfe3f7a346427c8eec8769e993224f5acbc3cc17d78b27f7a,0.0,1703,74,0.01,17.02,1172,0.6881972988843218,1703,0.02766432869893125,结果/06_Librosa74/逐样本/-t217m2on-s$_$7.npz,c0bb5ace9afb654b8a65e86c3a2cc7b359ca15d538878d902c79e7fa74b7e630,passed
-tANM6ETl_M$_$3,6.603625,105658,4fa1bb2d1e04aa7557e2ac8f099af67aa0b412a288c903005d96dafc578b9084,0.0,661,74,0.01,6.6000000000000005,485,0.7337367624810892,661,0.05947327118210941,结果/06_Librosa74/逐样本/-tANM6ETl_M$_$3.npz,c2807cb305795a51ca9f45bb7a66d2cbfd8eb54bcbf5cb127f68eefd452fedea,passed
-tPCytz4rww$_$11,5.378,86048,19c19217b7a8ec251c9c9bf4ebcbb6b046cf6661202cec4b592bd593640d260d,0.0,538,74,0.01,5.37,441,0.8197026022304833,538,0.06625615679200346,结果/06_Librosa74/逐样本/-tPCytz4rww$_$11.npz,a069e82504d33588286cf2e641e69dc66304c7425baca6d8d1c39bf82e4c480c,passed
-tPCytz4rww$_$10,4.678,74848,5ac077d7be40087d267370d04387757a6214fb8cda5b8f1b0debbcdc18bf21fa,0.0,468,74,0.01,4.67,351,0.75,468,0.04906697228543201,结果/06_Librosa74/逐样本/-tPCytz4rww$_$10.npz,45a7716b68403d7c6fc436e67d6fe5ca44c563624e5586bc81cb8d6474420c3a,passed
-tPCytz4rww$_$12,11.736,187776,a5e467a832c5eb3e4ca1e57ab96aef04db1513785d605c1a56c56269e2cb8126,0.0,1174,74,0.01,11.73,971,0.8270868824531517,1174,0.047991222705318075,结果/06_Librosa74/逐样本/-tPCytz4rww$_$12.npz,50c1aa6471f5d90b8f1c96da1f5bbf1439baa27d5e7849516333fb503c6062bc,passed
-tPCytz4rww$_$16,7.139,114224,2ffc3f28789e9b3289c99ee81b11668b9d18e552048dd8e00d680fa7680c5ea7,0.0,714,74,0.01,7.13,481,0.6736694677871149,714,0.05865548694143856,结果/06_Librosa74/逐样本/-tPCytz4rww$_$16.npz,464ed6d117da9ceb6522bd30716549eda5c366b14866e96dd2ae2e12ee0b3a17,passed
-tPCytz4rww$_$18,6.5688125,105101,bf50b1480ef2eaee2e2eed1355b628885cba574492687e897177d8301bf1448b,0.0,657,74,0.01,6.5600000000000005,574,0.8736681887366818,657,0.058387620555857854,结果/06_Librosa74/逐样本/-tPCytz4rww$_$18.npz,d2a7952c3224d9f9756cf9aa6892577df247d0395a8ba2f55abce2a34f319291,passed
-vxjVxOeScU$_$4,9.037,144592,68ce163e96d1d062b8fa0fd31fc26929b2a2ccdf87e0a1cac94527c5e6d3137f,0.0,904,74,0.01,9.03,647,0.7157079646017699,904,0.052826588867802754,结果/06_Librosa74/逐样本/-vxjVxOeScU$_$4.npz,be2e554aee57fc50864969e592cbf520a9c035d43073158c576b749490339860,passed
-wMB_hJL-3o$_$7,5.9755625,95609,5d3beae0093f09a280755fa2e689ddf2c716ab630aa493354d9ff277986ae60a,0.0,598,74,0.01,5.97,386,0.6454849498327759,598,0.030572407149094594,结果/06_Librosa74/逐样本/-wMB_hJL-3o$_$7.npz,846c17185115847aaa3ddb2207ebb84ee5922337269922d3fc5d1e59305ce991,passed
-wny0OAz3g8$_$1,6.776,108416,9e335eb4b29141d08831c972922bb7d0bda9e96cbf0bad242d0ea4bf28465991,0.0,678,74,0.01,6.7700000000000005,553,0.8156342182890856,678,0.12751602930152628,结果/06_Librosa74/逐样本/-wny0OAz3g8$_$1.npz,b71bbe0d52ba968024040c26e8cac8c9ae9282e96914f2d05b8cd04c9fbe13ba,passed
-wny0OAz3g8$_$0,3.274,52384,c59ab20463ed486961dcac88246ac030dfbfdf7cbeee18f1162772038f6730ef,0.0,328,74,0.01,3.27,282,0.8597560975609756,328,0.13524630100967816,结果/06_Librosa74/逐样本/-wny0OAz3g8$_$0.npz,a5eb2d0f9c6ae8c31ba39159ba963badf18e08a57ea81dc184777f66dd06249d,passed
-wny0OAz3g8$_$3,6.099875,97598,c82216a042d50bb0070852360522fbb6a6433d138bd8c6dd949c0e7ffa49c631,0.0,610,74,0.01,6.09,554,0.9081967213114754,610,0.1308947539834937,结果/06_Librosa74/逐样本/-wny0OAz3g8$_$3.npz,fe5f98a83c60c2b2a97cd6878a6fe2fd1f9e78a24224dae26169189a21f0b94b,passed
-wny0OAz3g8$_$2,6.5226875,104363,f932d228f3933ad0a1012242c9b83ba01dc83852fa0d34f1abd3af9984c64be0,0.0,653,74,0.01,6.5200000000000005,530,0.8116385911179173,653,0.125933002788996,结果/06_Librosa74/逐样本/-wny0OAz3g8$_$2.npz,1b0bf9c5d0b3fc0005a20b1ed39765e021492b0ced1b58ddf469fdfa435bf10e,passed
-wny0OAz3g8$_$5,6.741,107856,65dd72a421eb080ecfc18a25c0e9eea58b4e6389e2eae3fc58381b8d44644578,0.0,675,74,0.01,6.74,517,0.7659259259259259,675,0.12726310684221037,结果/06_Librosa74/逐样本/-wny0OAz3g8$_$5.npz,7fd276813105d911ffbac6a9b7d3bda1c58178d81b4e59d3092c7ead59a0781d,passed
-wny0OAz3g8$_$7,7.9105,126568,6ed27c7bf72f60dc3be4f761b77f2899479031786905ce5f5f938dfcb40abf2a,0.0,792,74,0.01,7.91,652,0.8232323232323232,792,0.12568614389289565,结果/06_Librosa74/逐样本/-wny0OAz3g8$_$7.npz,ef644dd46f52813b4af0045cc9ee7773881632ce69f95c34eb0aad36cd50c584,passed
-wny0OAz3g8$_$9,6.043,96688,f90ffb0ac25d0c2ed4b5cbaad0fe7d7df67e3939c6bb38542d270d2b545e0416,0.0,605,74,0.01,6.04,539,0.8909090909090909,605,0.107786258416941,结果/06_Librosa74/逐样本/-wny0OAz3g8$_$9.npz,6b01be080fc843ce31fb285cfa6dff87755f763ea0db126ae0a862053b1337ac,passed
-571d8cVauQ$_$0,4.992,79872,c6dfde032770023ed9709b40ba5c9c755bbb4e1e3d7a8f37129d657f3869d3a6,0.0,500,74,0.01,4.99,285,0.57,498,0.011627114269501233,结果/06_Librosa74/逐样本/-571d8cVauQ$_$0.npz,abaf695b5e9c6c80a2a64d1e7b99632508727fccff81f8a0fac8017f970fa0f0,passed
-571d8cVauQ$_$5,15.115,241840,0ddf85749f064be058fb452ae1600641a443fb4ba1d8cf1823724a1f969a5e9e,0.0,1512,74,0.01,15.11,980,0.6481481481481481,1512,0.013716916145636651,结果/06_Librosa74/逐样本/-571d8cVauQ$_$5.npz,6608691956dc2500b2ffce18b63b75811797e73ba55d8e5d51b87b8966ebaf19,passed
-I_e4mIh0yE$_$1,7.444,119104,42915f8f07d35b9e45fbcb07a767ce3cde94eed4fd50739fb87d53d496ed63a7,0.0,745,74,0.01,7.44,483,0.6483221476510067,745,0.03863838757890083,结果/06_Librosa74/逐样本/-I_e4mIh0yE$_$1.npz,5c4edd215343329910cbe50ee19abe4d82786847cc6a900f5efa4934a66fcd12,passed
-I_e4mIh0yE$_$3,8.994375,143910,c8e0b78c631b7adce271ad7d62aabb6d4afb8a39db8a20a9ee53c6b59b3e3ffd,0.0,900,74,0.01,8.99,490,0.5444444444444444,900,0.037587983467184345,结果/06_Librosa74/逐样本/-I_e4mIh0yE$_$3.npz,f93e3cdcfb421a9a0cb022af9fb1ef12fb18ea37cef6bbf86cc38a1c2cafdc66,passed
-UacrmKiTn4$_$10,7.242,115872,4e434b1bd14755dd84b6eead3367d1dfa46e6baaac8b68a57cc327d1d6a19c4d,0.0,725,74,0.01,7.24,498,0.6868965517241379,725,0.025423033235483908,结果/06_Librosa74/逐样本/-UacrmKiTn4$_$10.npz,87bb2b03c7d08f7c666b33ab4eef38f829f918e35cbf3ff778ad8553495bb696,passed
-UacrmKiTn4$_$4,4.681,74896,a6777cdcafaad2e1e6fc4beca1cc9baa353338894745ea8e1ec2c48241fea144,0.0,469,74,0.01,4.68,318,0.6780383795309168,469,0.02554954582203571,结果/06_Librosa74/逐样本/-UacrmKiTn4$_$4.npz,69174785ba38df49a2c05677d6f9325358cca017734ab6d11101bf190072b864,passed
-hnBHBN8p5A$_$7,7.308,116928,2a765463611a3bfe5beaea173dde8458672b65b243fdbb499e3869255af6f696,0.0,731,74,0.01,7.3,419,0.573187414500684,731,0.055373392745973894,结果/06_Librosa74/逐样本/-hnBHBN8p5A$_$7.npz,4e1fbeb42e09f37164b8565445490f52a0dcf3880cecf55f57a06eaa837f3f3c,passed
-hnBHBN8p5A$_$6,6.3328125,101325,d6fcf46993d4d8448070e39d77c3be78b50d04ea909c15eaced4e2dbb85302ee,0.0,634,74,0.01,6.33,279,0.4400630914826498,607,0.06346550165923304,结果/06_Librosa74/逐样本/-hnBHBN8p5A$_$6.npz,a9212d48540fc8eb8d8d3bd32157d5329968bee886a31c9c0106e15f02b596bd,passed
-qDkUB0GgYY$_$6,4.614,73824,149ff01893848566770851c8021e5210fabbcd91b986253fbea0d3358c1db8ac,0.0,462,74,0.01,4.61,406,0.8787878787878788,462,0.03136343594022002,结果/06_Librosa74/逐样本/-qDkUB0GgYY$_$6.npz,76e44450d7343fc29c5b75df9b9efac2932a5f8e5636ff8f46cd11ea26eb03cf,passed
-uywlfIYOS8$_$4,5.881125,94098,fc6212a9f511c5c9a95ce38d0b62e658d167749f0379db426c0b95334554635a,0.0,589,74,0.01,5.88,491,0.833616298811545,589,0.038294769769050205,结果/06_Librosa74/逐样本/-uywlfIYOS8$_$4.npz,5f91e9d20000d7a4944b2c44103f7a712271321673c8ee63c0c374710a9f4044,passed
